date,trend_diff
2013-10-28,7.95116228179058
2013-10-29,6.714254206877657
2013-10-30,5.809188623511833
2013-10-31,5.56351511816357
2013-11-01,5.4720063537049395
2013-11-04,7.32887903838816
2013-11-05,5.312485364292514
2013-11-06,8.618615944961542
2013-11-07,8.012254316861611
2013-11-08,5.389937502725055
2013-11-11,6.036640594946934
2013-11-12,5.384244527659834
2013-11-13,3.8100345067400925
2013-11-14,13.615956207850477
2013-11-15,14.262770475078135
2013-11-18,15.20067202078525
2013-11-19,5.8378241055721585
2013-11-20,4.919919614578652
2013-11-21,6.578087407265233
2013-11-22,6.3744633270926085
2013-11-25,6.633373156951921
2013-11-26,8.96719185763319
2013-11-27,3.4636760552234467
2013-11-29,3.4357543664889203
2013-12-02,6.322209550051588
2013-12-03,7.047953679130088
2013-12-04,7.398588246729744
2013-12-05,5.0582682896344275
2013-12-06,6.807967833768106
2013-12-09,6.161170631908459
2013-12-10,3.746735677964588
2013-12-11,5.655603081952377
2013-12-12,5.128935970981531
2013-12-13,8.790102085295707
2013-12-16,5.921153768669794
2013-12-17,6.693815977799787
2013-12-18,7.714452232797127
2013-12-19,8.599370104251594
2013-12-20,3.876370974271449
2013-12-23,4.597800115039105
2013-12-24,5.230349537487439
2013-12-26,3.2738833930196534
2013-12-27,3.2203248202110424
2013-12-30,3.88422169477783
2013-12-31,4.177809244359551
2014-01-02,4.378046266820188
2014-01-03,3.7827533698189475
2014-01-06,4.9618072078639335
2014-01-07,5.750529415373896
2014-01-08,5.660852670488358
2014-01-09,5.449013470430793
2014-01-10,5.205868076980822
2014-01-13,9.973727280558192
2014-01-14,10.032213649234937
2014-01-15,7.224097900831569
2014-01-16,7.0605136619336815
2014-01-17,6.894119791726003
2014-01-21,7.698780201462371
2014-01-22,9.699950546557526
2014-01-23,5.026951934867005
2014-01-24,7.677167226000028
2014-01-27,9.494201899726647
2014-01-28,8.15236011885741
2014-01-29,10.185826286963003
2014-01-30,11.829147701860144
2014-01-31,12.960093896713614
2014-02-03,7.302446247808369
2014-02-04,6.8604273593678915
2014-02-05,7.010164600497197
2014-02-06,8.786780168500838
2014-02-07,6.970774012663634
2014-02-10,8.916125563949796
2014-02-11,6.447453815146894
2014-02-12,4.521403451250397
2014-02-13,5.7214682519538425
2014-02-14,5.584696232650637
2014-02-18,8.046299646709723
2014-02-19,7.3137426231632015
2014-02-20,7.625346182424071
2014-02-21,5.754254642265972
2014-02-24,6.038889517728064
2014-02-25,8.320453981601664
2014-02-26,7.493726523169005
2014-02-27,7.593521195542552
2014-02-28,3.5203902264510556
2014-03-03,4.137792243547305
2014-03-04,4.0079479140410585
2014-03-05,5.83995716712812
2014-03-06,6.704949508659902
2014-03-07,5.328573186977108
2014-03-10,3.4902530275585915
2014-03-11,6.095760926696496
2014-03-12,6.558704809634077
2014-03-13,6.423081629696964
2014-03-14,4.487926753563202
2014-03-17,3.334176083112416
2014-03-18,4.594635823909834
2014-03-19,7.144181125103318
2014-03-20,8.120499007953654
2014-03-21,9.844582673311967
2014-03-24,10.184459232007091
2014-03-25,10.889587013160854
2014-03-26,6.630161441045848
2014-03-27,6.440698042780594
2014-03-28,5.8288211542610515
2014-03-31,3.3332305149951904
2014-04-01,6.873838709167368
2014-04-02,5.999065934575852
2014-04-03,5.394771167908086
2014-04-04,6.100311364187001
2014-04-07,7.558343092134483
2014-04-08,7.956669891542776
2014-04-09,6.2465389321889315
2014-04-10,5.206452593564532
2014-04-11,7.6311226808401456
2014-04-14,9.061334183763849
2014-04-15,7.846664809079123
2014-04-16,7.436722968208116
2014-04-17,9.432149451840061
2014-04-21,9.113455645562837
2014-04-22,7.142810381031715
2014-04-23,5.322534190660513
2014-04-24,6.898219776599931
2014-04-25,6.892144186259051
2014-04-28,7.165972835967463
2014-04-29,6.633026335964173
