Date,Open,High,Low,Close,Volume,Adj Close
2013-10-18,49.36,50.06,49.17,50.01,22190700,48.93
2013-10-17,48.57,49.24,48.12,48.90,29363600,47.84
2013-10-16,46.60,47.44,46.40,47.25,18900300,46.23
2013-10-15,46.80,46.94,46.27,46.32,12571300,45.32
2013-10-14,46.79,47.10,46.68,46.81,10940400,45.80
2013-10-11,46.81,47.09,46.66,47.09,11131200,46.07
2013-10-10,46.65,46.86,46.20,46.86,11555100,45.85
2013-10-09,46.21,46.78,46.06,46.20,13270800,45.20
2013-10-08,46.72,46.73,46.03,46.05,15794300,45.05
2013-10-07,46.88,47.65,46.76,47.29,45152600,45.75
2013-10-04,47.05,47.12,46.65,47.10,47164000,45.56
2013-10-03,46.68,47.18,46.52,47.01,14961500,45.48
2013-10-02,46.84,46.98,46.33,46.79,11939100,45.26
2013-10-01,46.62,47.00,46.53,46.99,10054900,45.46
2013-09-30,46.57,46.91,46.32,46.67,12315600,45.15
2013-09-27,47.42,47.45,46.69,47.00,10311600,45.47
2013-09-26,47.05,47.71,47.05,47.67,10233200,46.12
2013-09-25,47.30,47.35,46.76,46.95,13291600,45.42
2013-09-24,47.69,47.70,46.88,47.27,16939100,45.73
2013-09-23,47.71,48.00,47.37,47.98,9088700,46.42
2013-09-20,48.59,48.59,47.54,47.78,15178200,46.22
2013-09-19,48.62,48.89,48.22,48.51,11498400,46.93
2013-09-18,48.51,48.83,47.87,48.72,10933800,47.13
2013-09-17,48.47,48.70,48.27,48.57,10265600,46.99
2013-09-16,48.31,48.50,48.06,48.30,15342700,46.72
2013-09-13,47.80,48.36,47.56,47.76,16631800,46.20
2013-09-12,46.60,47.52,46.44,47.35,18127800,45.81
2013-09-11,46.49,46.90,46.32,46.52,16048000,45.00
2013-09-10,45.96,46.59,45.47,46.47,19005500,44.95
2013-09-09,46.35,46.40,45.82,45.91,12732600,44.41
2013-09-06,47.01,47.04,46.04,46.34,13434300,44.83
2013-09-05,47.11,47.58,46.33,46.64,17784300,45.12
2013-09-04,45.71,47.07,45.70,46.78,26556600,45.25
2013-09-03,45.52,46.45,45.08,46.01,47084100,44.51
2013-08-30,47.83,47.97,47.10,47.38,13416200,45.83
2013-08-29,48.62,48.66,47.57,47.82,36425300,46.26
2013-08-28,46.88,46.92,46.54,46.56,6798000,45.04
2013-08-27,46.58,47.00,46.25,46.95,9654300,45.42
2013-08-26,47.53,47.53,46.94,46.94,6943000,45.41
2013-08-23,47.02,47.70,46.95,47.61,6779300,46.06
2013-08-22,47.45,47.45,46.74,47.02,9861100,45.49
2013-08-21,47.79,47.79,47.23,47.27,8432300,45.73
2013-08-20,47.54,48.18,47.50,47.91,7263000,46.35
2013-08-19,47.55,48.09,47.45,47.50,7869000,45.95
2013-08-16,48.29,48.53,47.33,47.71,15381800,46.15
2013-08-15,48.66,48.98,48.42,48.54,6610600,46.96
2013-08-14,49.10,49.27,48.72,48.89,7391900,47.30
2013-08-13,49.64,49.68,49.03,49.15,7881400,47.55
2013-08-12,49.28,49.76,49.17,49.65,5507700,48.03
2013-08-09,49.70,49.80,49.02,49.32,8583300,47.71
2013-08-08,50.06,50.07,49.46,49.62,8155000,48.00
2013-08-07,49.93,50.25,49.84,49.93,5366300,48.30
2013-08-06,50.19,50.22,49.81,50.09,5225500,48.46
2013-08-05,50.11,50.35,49.95,50.21,4533000,48.57
2013-08-02,49.83,50.44,49.81,50.25,6883300,48.61
2013-08-01,50.05,50.19,49.63,50.01,9001000,48.38
2013-07-31,50.27,50.46,49.45,49.48,14428200,47.87
2013-07-30,51.94,51.94,50.30,50.42,11576500,48.78
2013-07-29,51.03,51.74,50.92,51.49,8444900,49.81
2013-07-26,50.74,51.08,50.51,51.02,7090300,49.36
2013-07-25,50.29,50.80,50.10,50.71,6486600,49.06
2013-07-24,50.16,50.53,49.94,50.38,8468400,48.74
2013-07-23,50.33,50.46,50.03,50.36,6755700,48.72
2013-07-22,49.84,50.31,49.63,50.27,8792400,48.63
2013-07-19,50.05,50.27,49.71,49.95,12332200,48.32
2013-07-18,50.00,50.33,49.19,49.97,12949700,48.34
2013-07-17,50.62,51.27,50.57,50.74,8543900,49.09
2013-07-16,49.75,50.45,49.71,50.28,8841400,48.64
2013-07-15,50.20,50.22,49.40,49.96,10592900,48.33
2013-07-12,51.25,51.30,50.21,50.41,12701400,48.77
2013-07-11,51.00,51.29,50.77,51.21,10229300,49.54
2013-07-10,50.94,51.09,50.42,50.54,8373800,48.89
2013-07-09,51.50,51.58,50.87,50.96,6737900,49.30
2013-07-08,51.10,51.41,50.80,51.17,7234600,49.50
2013-07-05,51.30,51.30,50.34,51.30,8024400,49.13
2013-07-03,50.56,51.29,50.45,51.01,5965700,48.85
2013-07-02,50.36,51.04,50.19,50.63,9660800,48.49
2013-07-01,50.29,50.65,50.18,50.36,9746200,48.23
2013-06-28,50.93,51.23,50.33,50.34,11162600,48.21
2013-06-27,50.96,51.50,50.93,51.00,8633500,48.84
2013-06-26,50.80,50.84,50.24,50.66,9200100,48.52
2013-06-25,49.43,50.68,49.43,50.44,31408000,48.31
2013-06-24,49.05,49.41,48.81,49.12,29396300,47.04
2013-06-21,49.43,49.78,49.10,49.52,35016000,47.42
2013-06-20,49.69,49.86,48.86,48.96,14661600,46.89
2013-06-19,51.31,51.45,50.04,50.05,11188400,47.93
2013-06-18,50.83,51.69,50.76,51.55,11104200,49.37
2013-06-17,51.45,51.63,50.35,50.71,9886600,48.56
2013-06-14,50.59,51.27,50.55,51.07,12020500,48.91
2013-06-13,49.89,50.71,49.80,50.64,7147000,48.50
2013-06-12,50.47,50.56,49.74,49.90,8216000,47.79
2013-06-11,50.22,50.79,49.93,50.18,9913100,48.06
2013-06-10,50.87,50.87,50.12,50.53,9617400,48.39
2013-06-07,50.17,50.31,49.77,50.24,12000100,48.11
2013-06-06,48.30,50.09,48.15,49.97,17669600,47.86
2013-06-05,48.91,48.93,48.23,48.30,11309100,46.26
2013-06-04,48.66,49.46,48.39,48.84,19897100,46.77
2013-06-03,48.43,48.71,47.77,48.66,17573200,46.60
2013-05-31,48.90,49.94,48.47,48.48,19667500,46.43
2013-05-30,49.48,50.06,49.08,49.08,12459800,47.00
2013-05-29,50.27,50.37,49.14,49.57,18588400,47.47
2013-05-28,51.77,51.98,50.45,50.82,10039500,48.67
2013-05-24,51.59,51.71,51.19,51.39,6583800,49.22
2013-05-23,51.07,52.06,51.04,51.89,10342500,49.69
2013-05-22,51.90,52.43,51.17,51.47,14026500,49.29
2013-05-21,52.68,52.78,51.95,52.07,11217900,49.87
2013-05-20,53.29,53.40,52.60,52.74,8045300,50.51
2013-05-17,53.47,53.56,53.06,53.35,9296800,51.09
2013-05-16,53.54,53.54,53.13,53.20,7685600,50.95
2013-05-15,53.15,53.67,52.80,53.60,9204900,51.33
2013-05-14,52.50,53.18,52.41,53.17,7397700,50.92
2013-05-13,52.83,52.89,52.41,52.55,5347700,50.33
2013-05-10,52.79,52.95,52.54,52.89,6242100,50.65
2013-05-09,53.02,53.03,52.54,52.71,7379300,50.48
2013-05-08,52.83,53.15,52.67,53.11,7373300,50.86
2013-05-07,52.22,52.92,52.10,52.92,9629800,50.68
