Date,Open,High,Low,Close,Volume,Adj Close
2013-10-18,91.75,92.05,91.14,91.63,9082600,89.72
2013-10-17,90.87,92.00,90.77,91.97,8569600,90.05
2013-10-16,90.42,91.17,90.16,91.11,8116000,89.21
2013-10-15,90.33,91.46,89.93,89.93,11024000,88.05
2013-10-14,88.83,89.89,88.63,89.80,9198600,87.93
2013-10-11,88.62,89.48,88.02,89.45,8449800,87.58
2013-10-10,86.72,87.78,86.70,87.78,8647900,85.95
2013-10-09,85.93,86.23,85.50,85.96,8014200,84.17
2013-10-08,86.62,86.74,85.57,85.61,8669800,83.82
2013-10-07,86.70,86.98,86.29,86.59,5705200,84.78
2013-10-04,86.82,87.42,86.56,87.31,6050000,85.49
2013-10-03,87.19,87.40,86.28,86.58,7724600,84.77
2013-10-02,87.13,87.29,86.44,87.29,6383400,85.47
2013-10-01,86.59,87.49,86.26,87.47,6318700,85.65
2013-09-30,86.33,86.95,86.15,86.69,7962300,84.88
2013-09-27,86.81,86.94,86.44,86.73,5461100,84.92
2013-09-26,87.28,87.70,86.72,87.07,6400600,85.25
2013-09-25,88.42,88.47,87.07,87.08,7493200,85.26
2013-09-24,89.02,89.20,88.15,88.22,7797500,86.38
2013-09-23,89.43,89.75,88.81,89.09,7376200,87.23
2013-09-20,90.20,90.72,89.68,89.68,14708600,87.81
2013-09-19,90.05,90.20,89.79,90.07,6721000,88.19
2013-09-18,88.91,89.91,88.30,89.91,10115500,88.04
2013-09-17,89.05,89.22,88.58,89.06,6291100,87.20
2013-09-16,89.43,89.57,88.83,89.03,7563700,87.17
2013-09-13,89.13,89.25,88.20,88.57,7738600,86.72
2013-09-12,89.30,89.57,88.88,89.01,7938500,87.15
2013-09-11,88.63,89.27,88.14,89.23,8098100,87.37
2013-09-10,88.14,88.58,87.85,88.53,8658700,86.68
2013-09-09,87.39,87.60,87.01,87.56,6819700,85.73
2013-09-06,87.22,87.92,86.00,87.16,10034900,85.34
2013-09-05,87.00,87.17,86.62,87.04,5647900,85.23
2013-09-04,86.46,87.25,86.25,86.90,8458800,85.09
2013-09-03,86.89,87.30,86.03,86.42,7590500,84.62
2013-08-30,86.78,86.78,85.85,86.41,7471300,84.61
2013-08-29,86.41,87.14,85.99,86.57,5768800,84.76
2013-08-28,86.36,86.91,85.88,86.53,8829200,84.73
2013-08-27,86.97,87.08,85.96,86.17,9941200,84.37
2013-08-26,88.36,88.48,87.39,87.53,6724500,85.70
2013-08-23,87.93,88.44,87.21,88.41,7714900,86.57
2013-08-22,88.76,89.03,88.12,88.26,7191900,85.77
2013-08-21,89.47,89.63,88.68,88.80,7940700,86.30
2013-08-20,90.55,91.65,89.73,89.73,8559200,87.20
2013-08-19,89.47,91.25,89.35,90.45,8687000,87.90
2013-08-16,89.13,89.80,88.77,89.37,14100700,86.85
2013-08-15,90.32,90.41,89.09,89.55,12010700,87.03
2013-08-14,92.79,92.95,90.51,90.70,12716800,88.14
2013-08-13,91.89,93.35,91.76,93.01,10099800,90.39
2013-08-12,92.08,92.77,91.75,92.00,11012300,89.41
2013-08-09,93.39,93.39,91.78,92.36,12135800,89.76
2013-08-08,94.27,94.37,92.71,93.34,11090000,90.71
2013-08-07,93.60,94.03,93.47,93.66,9056900,91.02
2013-08-06,93.88,93.94,93.50,93.81,6415000,91.17
2013-08-05,94.05,94.30,93.43,93.80,7192400,91.16
2013-08-02,93.56,94.39,93.45,94.39,8503100,91.73
2013-08-01,94.16,94.40,93.70,93.77,11098600,91.13
2013-07-31,93.23,94.42,93.19,93.50,11365700,90.87
2013-07-30,93.47,93.97,93.02,93.17,8863000,90.55
2013-07-29,92.63,93.39,92.61,93.21,7925000,90.58
2013-07-26,92.32,92.93,91.65,92.83,8663700,90.21
2013-07-25,92.00,92.75,91.75,92.57,7368000,89.96
2013-07-24,92.65,92.66,91.75,92.36,6846300,89.76
2013-07-23,92.39,92.86,92.11,92.42,8467700,89.82
2013-07-22,92.08,92.56,91.61,92.28,9916200,89.68
2013-07-19,90.24,92.27,90.05,92.23,12506300,89.63
2013-07-18,90.33,90.95,90.06,90.17,8329300,87.63
2013-07-17,90.58,90.97,89.88,90.13,12832200,87.59
2013-07-16,91.04,91.66,90.13,90.40,11409200,87.85
2013-07-15,89.91,90.81,89.76,90.40,13343200,87.85
2013-07-12,89.69,89.99,89.38,89.99,7590600,87.45
2013-07-11,89.81,89.93,89.00,89.67,8941300,87.14
2013-07-10,88.88,89.48,88.81,89.24,7067100,86.73
2013-07-09,88.65,89.08,88.36,88.88,9348600,86.38
2013-07-08,88.09,88.99,87.97,88.59,12051400,86.09
2013-07-05,87.58,87.88,86.92,87.87,5403600,85.39
2013-07-03,86.54,87.04,86.10,86.78,3599900,84.34
2013-07-02,86.65,87.20,86.21,86.57,8572100,84.13
2013-07-01,85.72,87.64,85.50,86.63,9905200,84.19
2013-06-28,86.72,87.38,85.85,85.86,11896300,83.44
2013-06-27,87.53,87.82,86.49,86.71,8890300,84.27
2013-06-26,85.95,87.32,85.94,86.99,11966500,84.54
2013-06-25,85.16,85.59,84.54,85.35,11239400,82.95
2013-06-24,82.92,85.31,82.81,84.61,14777500,82.23
2013-06-21,83.00,84.32,82.50,83.20,20715800,80.86
2013-06-20,84.21,84.45,82.12,82.62,15172600,80.29
2013-06-19,86.43,86.50,84.80,84.86,8288400,82.47
2013-06-18,85.75,86.44,85.63,86.36,7233600,83.93
2013-06-17,85.37,86.40,84.98,85.63,8429100,83.22
2013-06-14,84.71,85.48,84.66,84.91,6357100,82.52
2013-06-13,83.60,84.96,83.08,84.91,8570000,82.52
2013-06-12,85.18,85.50,83.70,83.74,8413200,81.38
2013-06-11,84.76,85.02,84.13,84.69,8967000,82.30
2013-06-10,85.01,85.71,84.73,85.14,8477100,82.74
2013-06-07,84.96,85.18,84.40,84.91,8907700,82.52
2013-06-06,83.59,84.46,82.65,84.46,10671000,82.08
2013-06-05,83.91,85.00,83.48,83.68,9839100,81.32
2013-06-04,84.72,85.03,83.56,84.10,9972000,81.73
2013-06-03,84.28,84.71,83.37,84.71,11768500,82.32
2013-05-31,85.68,85.99,84.18,84.18,13302700,81.81
2013-05-30,85.71,86.31,85.68,85.99,7801200,83.57
2013-05-29,87.08,87.16,85.14,85.65,11872100,83.24
2013-05-28,87.54,88.29,87.27,87.61,8380200,85.14
2013-05-24,86.80,87.03,86.49,86.82,10390100,84.37
2013-05-23,87.11,87.97,87.00,87.21,14446900,84.75
2013-05-22,88.70,89.99,88.20,88.46,13825900,85.33
2013-05-21,87.94,88.64,87.79,88.59,10099600,85.45
2013-05-20,88.10,88.20,87.81,88.01,7235800,84.89
2013-05-17,87.47,88.20,87.41,88.09,11437700,84.97
2013-05-16,87.33,87.77,87.06,87.45,9441900,84.35
2013-05-15,86.94,87.88,86.94,87.64,13444400,84.54
2013-05-14,85.76,87.08,85.76,86.97,10360700,83.89
2013-05-13,85.56,86.07,85.44,85.85,6631500,82.81
2013-05-10,85.29,85.76,85.18,85.76,7594800,82.72
2013-05-09,85.45,85.69,84.96,85.15,8342000,82.13
2013-05-08,85.48,85.60,84.93,85.46,8044600,82.43
2013-05-07,84.87,85.57,84.63,85.53,9061800,82.50
2013-05-06,85.78,85.78,84.55,84.68,8815600,81.68
2013-05-03,85.58,85.99,85.45,85.75,9213800,82.71
2013-05-02,84.44,85.21,84.17,85.16,8668900,82.14
2013-05-01,84.50,85.13,83.88,84.23,12312100,81.25
2013-04-30,85.39,85.70,84.89,85.23,12099600,82.21
2013-04-29,85.02,85.89,84.91,85.58,8038000,82.55
2013-04-26,85.30,85.49,84.81,85.12,6784700,82.10
2013-04-25,84.54,85.44,84.34,85.22,8689400,82.20
2013-04-24,85.68,85.74,84.28,84.39,9480600,81.40
2013-04-23,84.99,85.68,84.00,85.45,8982100,82.42
2013-04-22,84.59,84.93,84.20,84.83,6989900,81.82
2013-04-19,83.51,84.57,83.47,84.49,10787600,81.50
2013-04-18,83.96,84.30,83.03,83.18,9921500,80.23
2013-04-17,83.36,84.43,83.29,83.90,13693300,80.93
2013-04-16,82.33,83.54,82.07,83.44,12620000,80.48
2013-04-15,82.72,83.09,81.71,81.71,12385800,78.82
2013-04-12,82.25,82.74,82.17,82.74,6987000,79.81
2013-04-11,82.14,82.96,82.08,82.32,9882700,79.40
2013-04-10,81.83,82.20,81.74,82.02,7583200,79.11
2013-04-09,81.26,81.75,81.24,81.52,9111000,78.63
2013-04-08,81.27,81.39,80.31,81.11,15828500,78.24
2013-04-05,81.79,82.11,81.62,82.04,8581400,79.13
2013-04-04,82.20,82.72,81.93,82.41,10303000,79.49
2013-04-03,82.74,82.95,81.57,82.07,12254000,79.16
2013-04-02,82.00,82.69,81.90,82.69,10342200,79.76
