date,trend_spread,high,high_today,high_after,high_trend,low,low_today,low_after,low_trend,spread_after
2013-10-28,7.95116228179058,MSFT,35.04,34.99,-0.1426940639269325,MRK,44.59,44.82,0.5158107198923455,0.658504783819278
2013-10-29,6.714254206877657,MSFT,34.99,35.01,0.05715918833951421,MRK,44.82,44.49,-0.7362784471218169,-0.7934376354613311
2013-10-30,5.809188623511833,T,35.32,35.26,-0.16987542468856817,MRK,44.49,44.34,-0.33715441672285584,-0.16727899203428767
2013-10-31,5.56351511816357,HD,77.07,76.18,-1.1547943428052245,V,195.92,198.4,1.265822784810136,2.4206171276153605
2013-11-01,5.4720063537049395,BA,131.8,131.57,-0.17450682852808663,CVX,116.0,116.09,0.07758620689655465,0.2520930354246413
2013-11-04,7.32887903838816,XOM,90.83,90.73,-0.11009578333149214,V,195.67,196.62,0.4855113200797348,0.5956071034112269
2013-11-05,5.312485364292514,MSFT,36.09,37.61,4.211692989747841,T,34.61,34.89,0.8090147356255452,-3.402678254122296
2013-11-06,8.618615944961542,MSFT,37.61,36.94,-1.7814411060888107,T,34.89,34.2,-1.9776440240756599,-0.1962029179868492
2013-11-07,8.012254316861611,MSFT,36.94,37.22,0.7579859231185737,T,34.2,34.26,0.17543859649121393,-0.5825473266273598
2013-11-08,5.389937502725055,JPM,53.27,53.41,0.2628120893560981,HD,74.68,74.57,-0.14729512587039856,-0.4101072152264967
2013-11-11,6.036640594946934,JPM,53.41,53.28,-0.2434001123385049,T,34.12,34.26,0.41031652989449174,0.6537166422329966
2013-11-12,5.384244527659834,JPM,53.28,53.45,0.31906906906907223,TRV,85.44,86.21,0.9012172284644149,0.5821481593953426
2013-11-13,3.8100345067400925,HD,76.78,78.1,1.7191977077363807,DD,60.51,61.36,1.4047264914890123,-0.3144712162473684
2013-11-14,13.615956207850477,HD,78.1,79.18,1.3828425096030892,CSCO,21.03,21.2,0.8083689966714128,-0.5744735129316764
2013-11-15,14.262770475078135,HD,79.18,78.83,-0.44203081586260234,CSCO,21.2,20.95,-1.179245283018868,-0.7372144671562657
2013-11-18,15.20067202078525,BA,137.58,136.21,-0.995784270969621,CSCO,20.95,21.08,0.6205250596658665,1.6163093306354874
2013-11-19,5.8378241055721585,JPM,55.44,55.39,-0.09018759018758507,MSFT,36.47,36.8,0.9048533040855452,0.9950408942731302
2013-11-20,4.919919614578652,JPM,55.39,56.49,1.9859180357465274,BA,131.71,132.18,0.35684458279553477,-1.6290734529509927
2013-11-21,6.578087407265233,JPM,56.49,56.73,0.42485395645246044,BA,132.18,135.21,2.2923286427598737,1.8674746863074132
2013-11-22,6.3744633270926085,UNH,73.2,73.52,0.4371584699453458,INTC,23.64,23.53,-0.46531302876480296,-0.9024714987101488
2013-11-25,6.633373156951921,TRV,89.74,89.74,0.0,IBM,177.96,176.34,-0.910316925151722,-0.910316925151722
2013-11-26,8.96719185763319,CAT,83.32,83.63,0.3720595295247267,INTC,23.43,23.67,1.0243277848911736,0.652268255366447
2013-11-27,3.4636760552234467,CAT,83.63,83.56,-0.08370202080592273,CVX,121.34,121.36,0.016482610845554656,0.1001846316514774
2013-11-29,3.4357543664889203,MMM,132.64,126.85,-4.3651990349819005,XOM,92.82,92.86,0.0430941607412263,4.408293195723127
2013-12-02,6.322209550051588,MSFT,38.16,38.02,-0.3668763102725196,MMM,126.85,125.77,-0.8513992905005899,-0.48452298022807033
2013-12-03,7.047953679130088,MSFT,38.02,38.65,1.6570226196738438,MMM,125.77,125.63,-0.11131430388805007,-1.7683369235618938
2013-12-04,7.398588246729744,MSFT,38.65,37.72,-2.4062095730918496,MMM,125.63,126.0,0.29451564116851436,2.700725214260364
2013-12-05,5.0582682896344275,INTC,24.03,24.59,2.3304203079483927,MRK,48.0,48.57,1.1875000000000004,-1.1429203079483923
2013-12-06,6.807967833768106,INTC,24.59,24.69,0.40666937779585777,JPM,55.35,55.79,0.7949412827461567,0.38827190495029895
2013-12-09,6.161170631908459,INTC,24.69,24.59,-0.4050222762251981,JPM,55.79,55.98,0.34056282487900646,0.7455851011042045
2013-12-10,3.746735677964588,GE,26.69,26.14,-2.060696890221059,V,199.07,205.29,3.124529060129602,5.185225950350661
2013-12-11,5.655603081952377,V,205.29,203.07,-1.0813970480783277,NKE,76.37,76.0,-0.48448343590415677,0.5969136121741709
2013-12-12,5.128935970981531,V,203.07,206.99,1.9303688383316178,PFE,30.0,30.0,0.0,-1.9303688383316178
2013-12-13,8.790102085295707,V,206.99,207.38,0.18841489927048957,UNH,70.23,70.8,0.811618966253728,0.6232040669832384
2013-12-16,5.921153768669794,XOM,96.54,96.07,-0.4868448311580827,PG,80.43,79.67,-0.9449210493596979,-0.4580762182016152
2013-12-17,6.693815977799787,V,212.87,214.96,0.9818198900737556,MSFT,36.25,36.31,0.16551724137931662,-0.8163026486944389
