date,trend_spread,high,high_today,high_after,high_trend,low,low_today,low_after,low_trend,spread_after
2013-10-30,8.07939984348266,MSFT,35.01,34.88,-0.371322479291618,MRK,44.49,44.34,-0.33715441672285584,0.03416806256876215
2013-10-31,8.074065059552145,MSFT,34.88,35.0,0.3440366972476991,V,195.92,198.4,1.265822784810136,0.9217860875624369
2013-11-01,5.7726987131887855,T,35.3,35.5,0.5665722379603481,MRK,44.48,44.96,1.079136690647491,0.512564452687143
2013-11-04,7.660395677454712,XOM,90.83,90.73,-0.11009578333149214,V,195.67,196.62,0.4855113200797348,0.5956071034112269
2013-11-05,6.805005140630441,XOM,90.73,91.94,1.3336272456739708,V,196.62,198.26,0.8340962262231646,-0.49953101945080625
2013-11-06,9.78066550387833,MSFT,37.61,36.94,-1.7814411060888107,V,198.26,195.35,-1.4677695954806802,0.3136715106081305
2013-11-07,8.912202667471494,MSFT,36.94,37.22,0.7579859231185737,T,34.2,34.26,0.17543859649121393,-0.5825473266273598
2013-11-08,9.289032780250905,MSFT,37.22,37.03,-0.5104782375067107,T,34.26,34.12,-0.4086398131932299,0.10183842431348084
2013-11-11,8.491843717673287,MSFT,37.03,36.8,-0.621118012422371,T,34.12,34.26,0.41031652989449174,1.0314345423168627
2013-11-12,6.506033470414203,MRK,46.8,46.55,-0.5341880341880342,DIS,66.94,68.13,1.7777113833283504,2.3118994175163845
2013-11-13,5.999755062232936,JPM,53.45,53.71,0.48643592142188585,T,34.16,34.25,0.26346604215457675,-0.2229698792673091
2013-11-14,12.854168208262665,JPM,53.71,54.17,0.8564513126047307,CSCO,21.03,21.2,0.8083689966714128,-0.04808231593331791
2013-11-15,14.369851501874201,HD,79.18,78.83,-0.44203081586260234,CSCO,21.2,20.95,-1.179245283018868,-0.7372144671562657
2013-11-18,14.94152261527617,HD,78.83,79.53,0.887986807053156,CSCO,20.95,21.08,0.6205250596658665,-0.26746174738728956
2013-11-19,15.241064850946614,HD,79.53,78.91,-0.7795800326920715,CSCO,21.08,20.89,-0.9013282732447712,-0.12174824055269962
2013-11-20,15.187562030243429,JPM,55.39,56.49,1.9859180357465274,CSCO,20.89,21.13,1.1488750598372353,-0.8370429759092921
2013-11-21,7.134122092169245,JPM,56.49,56.73,0.42485395645246044,CAT,81.11,81.86,0.9246702009616571,0.49981624450919665
2013-11-22,7.401861377045687,JPM,56.73,56.92,0.3349197955226597,INTC,23.64,23.53,-0.46531302876480296,-0.8002328242874627
2013-11-25,7.308599886984965,JPM,56.92,56.44,-0.8432888264230569,BA,132.25,134.02,1.3383742911153196,2.1816631175383767
2013-11-26,8.353726672483914,UNH,73.97,73.81,-0.2163039069893154,IBM,176.34,177.99,0.9356924123851682,1.1519963193744835
2013-11-27,7.418034392896552,AXP,85.15,85.36,0.246623605402224,IBM,177.99,178.7,0.3988988145401312,0.1522752091379072
2013-11-29,8.542798206694835,CAT,83.56,83.21,-0.41886069889900496,INTC,23.61,23.48,-0.5506141465480686,-0.13175344764906366
2013-12-02,5.078352316300025,MRK,49.34,48.93,-0.8309687880016289,MMM,126.85,125.77,-0.8513992905005899,-0.020430502498961056
2013-12-03,5.2950144039062765,MSFT,38.02,38.65,1.6570226196738438,MMM,125.77,125.63,-0.11131430388805007,-1.7683369235618938
2013-12-04,8.573273739452846,MSFT,38.65,37.72,-2.4062095730918496,MMM,125.63,126.0,0.29451564116851436,2.700725214260364
2013-12-05,6.51978158168368,INTC,24.03,24.59,2.3304203079483927,MMM,126.0,127.77,1.4047619047619015,-0.9256584031864912
2013-12-06,7.822375846140714,INTC,24.59,24.69,0.40666937779585777,MMM,127.77,127.73,-0.03130625342411524,-0.437975631219973
2013-12-09,6.877291501447829,INTC,24.69,24.59,-0.4050222762251981,V,201.23,199.07,-1.0733985986184946,-0.6683763223932966
2013-12-10,7.4576152186716,INTC,24.59,24.19,-1.6266775111834022,WMT,78.57,78.58,0.012727504136445357,1.6394050153198476
2013-12-11,6.263904656299784,INTC,24.19,24.24,0.20669698222404775,MSFT,37.33,36.94,-1.0447361371551047,-1.2514331193791524
2013-12-12,4.867306169145462,GS,167.76,167.82,0.035765379113019954,PFE,30.0,30.0,0.0,-0.035765379113019954
2013-12-13,7.590528188395387,V,206.99,207.38,0.18841489927048957,CSCO,19.92,20.35,2.158634538152609,1.9702196388821194
2013-12-16,7.7412642079426135,V,207.38,212.87,2.6473141093644563,MSFT,36.62,36.25,-1.0103768432550448,-3.657690952619501
2013-12-17,11.404991736922312,V,212.87,214.96,0.9818198900737556,UNH,70.48,72.12,2.326901248581158,1.3450813585074026
2013-12-18,9.854826077040745,MMM,134.91,135.52,0.45215328737677984,MSFT,36.31,35.98,-0.9088405397962142,-1.360993827172994
2013-12-19,10.368192577076805,MMM,135.52,135.83,0.22874852420307132,MSFT,35.98,36.53,1.5286270150083499,1.2998784908052785
2013-12-20,8.982749263960937,MMM,135.83,135.91,0.058897150850315896,WMT,76.93,77.37,0.57194852463278,0.5130513737824641
2013-12-23,7.896491486968293,MMM,135.91,136.1,0.13979839599734953,MSFT,36.35,36.8,1.237964236588709,1.0981658405913595
2013-12-24,4.959811516962522,AXP,88.24,88.55,0.35131459655485303,PG,80.06,80.5,0.5495878091431398,0.19827321258828673
2013-12-26,4.575879230373625,CSCO,21.45,21.67,1.0256410256410369,PG,80.5,80.75,0.3105590062111801,-0.7150820194298568
2013-12-27,4.7643006620784005,CSCO,21.67,21.89,1.0152284263959337,PFE,30.39,30.44,0.164527805199081,-0.8507006211968526
2013-12-30,5.8355233189670415,CSCO,21.89,22.07,0.8222932846048411,BA,135.16,135.72,0.4143237644273471,-0.407969520177494
2013-12-31,4.72825590848287,DIS,76.4,76.27,-0.17015706806283987,JNJ,90.94,90.38,-0.6157906311853996,-0.4456335631225597
2014-01-02,4.42403372105062,DIS,76.27,76.11,-0.20978104103841166,CAT,88.76,88.71,-0.056331680937371974,0.15344936010103968
2014-01-03,3.599268176150468,DIS,76.11,75.82,-0.3810274602549024,PG,79.21,79.4,0.2398687034465496,0.6208961637014521
2014-01-06,5.250125448720426,JPM,58.63,57.95,-1.159815793962135,MSFT,35.86,36.14,0.7808142777467963,1.9406300717089313
2014-01-07,6.97191006574417,BA,139.72,140.03,0.22187231606069446,DD,61.89,62.69,1.292615931491351,1.0707436154306564
