date,trend_spread,high,high_today,high_after,low,low_today,low_after
2013-10-31,8.016193949099563,MSFT,34.88,35.0,MRK,44.34,44.48
2013-11-01,7.4924313623415495,MSFT,35.0,35.4,MRK,44.48,44.96
2013-11-04,7.963631427075607,XOM,90.83,90.73,V,195.67,196.62
2013-11-05,7.075903173551193,XOM,90.73,91.94,V,196.62,198.26
2013-11-06,10.043638593346818,MSFT,37.61,36.94,V,198.26,195.35
2013-11-07,9.300141702168174,MSFT,36.94,37.22,V,195.35,197.53
2013-11-08,9.809792539369043,MSFT,37.22,37.03,HD,74.68,74.57
2013-11-11,9.142776203966008,MSFT,37.03,36.8,T,34.12,34.26
2013-11-12,8.578466297333975,CSCO,23.35,23.62,T,34.26,34.16
2013-11-13,5.672399563100945,MRK,46.55,47.02,T,34.16,34.25
2013-11-14,12.618931813105988,JPM,53.71,54.17,CSCO,21.03,21.2
2013-11-15,13.008724527874898,JPM,54.17,55.03,CSCO,21.2,20.95
2013-11-18,14.982032576635945,HD,78.83,79.53,CSCO,20.95,21.08
2013-11-19,15.316979684099884,HD,79.53,78.91,CSCO,21.08,20.89
2013-11-20,15.232160882828147,HD,78.91,78.99,CSCO,20.89,21.13
2013-11-21,16.229472098370763,JPM,56.49,56.73,CSCO,21.13,21.12
2013-11-22,7.7751069331126965,JPM,56.73,56.92,INTC,23.64,23.53
2013-11-25,8.20547028312207,JPM,56.92,56.44,INTC,23.53,23.43
2013-11-26,7.844412460749975,UNH,73.97,73.81,IBM,176.34,177.99
2013-11-27,7.23305719754347,UNH,73.81,73.93,IBM,177.99,178.7
2013-11-29,7.2891715378084445,AXP,85.36,84.86,IBM,178.7,176.51
2013-12-02,9.242584295797377,MRK,49.34,48.93,INTC,23.48,23.33
2013-12-03,5.330401364214082,MSFT,38.02,38.65,MMM,125.77,125.63
2013-12-04,7.088696575830383,MSFT,38.65,37.72,MMM,125.63,126.0
2013-12-05,6.590067691339041,INTC,24.03,24.59,MMM,126.0,127.77
2013-12-06,7.551105847604661,INTC,24.59,24.69,MMM,127.77,127.73
2013-12-09,8.276082005079521,INTC,24.69,24.59,MMM,127.73,126.72
2013-12-10,7.506290657146952,INTC,24.59,24.19,V,199.07,205.29
2013-12-11,6.572812610782801,INTC,24.19,24.24,NKE,76.37,76.0
2013-12-12,7.485545317738995,INTC,24.24,24.06,MSFT,36.94,36.42
2013-12-13,6.247540132736057,V,206.99,207.38,MSFT,36.42,36.62
2013-12-16,7.005078409923245,V,207.38,212.87,PFE,30.0,29.89
2013-12-17,11.43252572938791,V,212.87,214.96,MSFT,36.25,36.31
2013-12-18,12.000091995317213,V,214.96,215.69,MSFT,36.31,35.98
2013-12-19,11.223191208328226,MMM,135.52,135.83,MSFT,35.98,36.53
2013-12-20,9.387699444359484,MMM,135.83,135.91,WMT,76.93,77.37
2013-12-23,9.490966173710204,MMM,135.91,136.1,PG,80.06,80.06
2013-12-24,7.769023647229896,MMM,136.1,137.39,PG,80.06,80.5
2013-12-26,4.777992260618061,AXP,88.55,88.74,PG,80.5,80.75
2013-12-27,5.386694452744043,CSCO,21.67,21.89,NKE,77.92,78.5
2013-12-30,5.661414826337055,CSCO,21.89,22.07,PFE,30.44,30.38
2013-12-31,6.692735282913577,CSCO,22.07,21.81,JNJ,90.94,90.38
2014-01-02,5.1637467961018455,DIS,76.27,76.11,JNJ,90.38,91.19
2014-01-03,4.2630638268802095,DIS,76.11,75.82,CAT,88.71,87.55
2014-01-06,5.534584455625419,JPM,58.63,57.95,MSFT,35.86,36.14
2014-01-07,5.6702603335490736,DIS,76.34,75.22,DD,61.89,62.69
2014-01-08,7.7101351314070925,BA,140.03,141.33,MSFT,35.49,35.27
2014-01-09,9.142936507879819,BA,141.33,141.1,MSFT,35.27,35.77
2014-01-10,7.081458666445224,JNJ,94.06,93.82,MSFT,35.77,34.72
2014-01-13,12.070332759234118,MRK,52.71,52.59,MSFT,34.72,35.51
2014-01-14,10.152757011737485,MRK,52.59,52.11,CVX,118.52,118.13
