Date,Open,High,Low,Close,Volume,Adj Close
2014-04-17,126.44,128.37,125.83,127.92,3449400,127.21
2014-04-16,125.00,126.04,124.73,126.04,2826100,125.34
2014-04-15,123.35,124.55,122.13,124.27,2746900,123.58
2014-04-14,123.08,123.77,122.18,123.25,3086300,122.56
2014-04-11,123.05,123.45,121.92,122.07,3854600,121.39
2014-04-10,126.82,126.86,123.64,123.64,3956900,122.95
2014-04-09,124.99,127.02,124.05,126.88,3689900,126.17
2014-04-08,125.28,125.73,124.06,124.15,4122200,123.46
2014-04-07,127.19,128.18,124.95,125.59,3753600,124.89
2014-04-04,129.33,129.92,127.23,127.38,4156600,126.67
2014-04-03,129.17,129.17,128.28,128.78,3303500,128.06
2014-04-02,128.63,128.77,127.40,128.31,2935200,127.59
2014-04-01,126.24,128.40,126.17,128.21,3952800,127.49
2014-03-31,125.36,126.04,124.80,125.49,2962000,124.79
2014-03-28,123.78,125.19,123.52,124.46,2863500,123.77
2014-03-27,123.01,124.30,121.80,123.21,3106000,122.52
2014-03-26,124.61,125.32,123.32,123.53,3091200,122.84
2014-03-25,124.46,125.00,123.56,124.02,3225100,123.33
2014-03-24,123.53,123.95,122.08,123.42,4472500,122.73
2014-03-21,124.06,124.45,122.50,122.58,7973600,121.90
2014-03-20,122.59,123.90,121.38,123.73,4601700,123.04
2014-03-19,124.32,125.20,121.37,122.24,6673000,121.56
2014-03-18,125.59,125.82,123.66,124.04,4151600,123.35
2014-03-17,123.97,125.82,123.92,125.42,4380500,124.72
2014-03-14,122.12,124.28,121.95,123.11,5698400,122.42
2014-03-13,124.65,125.61,121.63,121.89,6071200,121.21
2014-03-12,125.00,125.20,123.81,124.43,5040100,123.74
2014-03-11,127.03,127.27,125.62,125.67,4190000,124.97
2014-03-10,126.51,127.28,124.76,126.89,7039200,126.18
2014-03-07,129.75,130.16,128.07,128.54,4297800,127.82
2014-03-06,129.01,129.37,128.03,128.86,3595900,128.14
2014-03-05,130.40,130.80,128.69,128.79,4095200,128.07
2014-03-04,129.38,131.00,129.33,130.23,5422800,129.50
2014-03-03,127.18,128.44,126.52,128.22,4847100,127.50
2014-02-28,128.75,129.95,128.06,128.92,4361400,128.20
2014-02-27,126.47,128.56,126.26,128.56,4649700,127.84
2014-02-26,127.24,127.94,126.36,126.61,4803600,125.90
2014-02-25,129.30,129.75,126.21,126.78,7308800,126.07
2014-02-24,128.38,130.80,128.36,129.59,4635700,128.87
2014-02-21,129.80,129.80,128.11,128.28,5164000,127.56
2014-02-20,128.48,129.99,127.51,129.56,4466400,128.84
2014-02-19,130.11,130.50,128.37,128.39,5146600,127.67
2014-02-18,130.13,130.94,129.60,130.63,4645300,129.90
2014-02-14,129.09,130.41,128.02,130.16,4807700,129.43
2014-02-13,127.06,129.94,127.06,129.50,4203400,128.78
2014-02-12,130.29,130.55,128.00,128.13,5798800,127.42
2014-02-11,127.65,130.69,127.46,130.16,7874000,128.71
2014-02-10,128.96,128.97,126.35,127.16,8173500,125.74
2014-02-07,123.75,127.21,123.65,127.02,8906300,125.60
2014-02-06,121.79,122.72,121.51,122.67,6738800,121.30
2014-02-05,121.00,121.94,118.77,121.40,9689100,120.05
2014-02-04,123.07,123.80,120.53,122.04,9304100,120.68
2014-02-03,124.24,126.52,122.75,123.08,9309600,121.71
2014-01-31,124.46,126.87,123.08,125.26,9732700,123.86
2014-01-30,131.70,131.70,125.20,126.53,10406200,125.12
2014-01-29,131.70,131.76,128.07,129.78,15993400,128.33
2014-01-28,137.61,138.09,136.44,137.09,4606200,135.56
2014-01-27,136.70,138.46,135.65,137.36,5057800,135.83
2014-01-24,140.40,140.47,136.32,136.65,5856800,135.13
2014-01-23,143.10,143.89,141.10,141.31,4491400,139.73
2014-01-22,142.31,144.57,141.87,144.37,4388700,142.76
2014-01-21,141.46,142.46,140.81,141.67,3240600,140.09
2014-01-17,140.08,141.00,139.75,140.46,3382700,138.89
2014-01-16,140.33,141.45,140.07,140.21,3062900,138.65
2014-01-15,140.30,141.08,140.14,140.62,3030800,139.05
2014-01-14,140.85,141.70,137.80,140.01,8441600,138.45
2014-01-13,141.55,142.14,140.38,140.70,4462400,139.13
2014-01-10,142.79,142.80,140.90,141.90,4549500,140.32
2014-01-09,141.51,142.52,140.54,142.13,4052500,140.54
2014-01-08,140.69,141.40,139.36,140.82,4236100,139.25
2014-01-07,138.58,141.10,138.50,140.51,4238500,138.94
2014-01-06,139.40,139.76,137.80,138.41,4196500,136.87
2014-01-03,137.06,138.50,137.05,137.62,3177400,136.08
2014-01-02,136.01,137.25,135.51,136.67,3366700,135.15
2013-12-31,136.16,137.05,135.74,136.49,2096000,134.97
2013-12-30,137.16,137.37,135.54,135.92,2403500,134.40
2013-12-27,138.69,138.88,136.79,136.90,2204600,135.37
2013-12-26,137.18,138.59,137.17,138.27,2161300,136.73
2013-12-24,136.40,136.98,136.14,136.83,1203200,135.30
