Date,Open,High,Low,Close,Volume,Adj Close
2014-05-20,53.72,54.04,53.41,53.72,16854600,53.72
2014-05-19,53.08,53.91,53.06,53.83,12024000,53.83
2014-05-16,53.42,53.51,52.97,53.31,19992400,53.31
2014-05-15,54.20,54.20,53.35,53.51,19741600,53.51
2014-05-14,54.64,54.70,54.30,54.36,10325800,54.36
2014-05-13,54.74,54.83,54.50,54.62,12310700,54.62
2014-05-12,54.27,54.70,54.03,54.65,12825500,54.65
2014-05-09,54.22,54.31,53.68,54.01,12364500,54.01
2014-05-08,54.20,54.53,54.06,54.36,16090800,54.36
2014-05-07,53.55,54.12,53.24,54.05,18502600,54.05
2014-05-06,54.04,54.06,53.32,53.34,25327400,53.34
2014-05-05,53.88,54.74,53.70,54.22,25232300,54.22
2014-05-02,55.83,56.37,55.44,55.58,15153800,55.58
2014-05-01,55.92,56.19,55.50,55.72,12744600,55.72
2014-04-30,56.24,56.35,55.72,55.98,14388100,55.98
2014-04-29,55.73,56.31,55.57,56.10,13453400,56.10
2014-04-28,55.63,55.70,54.68,55.49,21394100,55.49
2014-04-25,56.31,56.35,55.64,55.70,15937700,55.70
2014-04-24,56.07,56.26,55.61,56.19,15360600,56.19
2014-04-23,55.80,56.12,55.56,56.05,11379000,56.05
2014-04-22,55.04,56.08,54.94,55.81,16257600,55.81
2014-04-21,55.26,55.41,54.99,55.03,12384800,55.03
2014-04-17,55.34,55.57,55.01,55.22,17955400,55.22
2014-04-16,55.00,55.35,54.69,55.26,27049400,55.26
2014-04-15,55.09,55.64,54.35,54.80,26691400,54.80
2014-04-14,55.85,55.94,54.48,54.96,31081500,54.96
2014-04-11,55.18,56.05,54.55,55.30,47241300,55.30
2014-04-10,59.35,59.39,57.38,57.40,29977200,57.40
2014-04-09,59.10,59.45,58.50,59.27,15308400,59.27
2014-04-08,58.80,59.02,58.25,58.85,16956500,58.85
2014-04-07,59.69,60.00,58.84,59.00,18685700,59.00
2014-04-04,61.02,61.06,59.80,59.81,16966900,59.81
2014-04-03,60.65,60.80,60.28,60.66,11925200,60.66
2014-04-02,60.37,60.77,60.20,60.48,14012200,60.48
2014-04-01,60.95,61.29,60.37,60.67,14584400,60.29
2014-03-31,60.83,61.02,60.60,60.71,15216700,60.33
2014-03-28,60.21,60.59,59.68,60.04,14708700,59.66
2014-03-27,59.94,60.55,59.02,59.92,24632600,59.54
2014-03-26,61.24,61.40,59.89,59.90,22745200,59.52
2014-03-25,61.11,61.48,60.56,60.93,24053500,60.55
2014-03-24,60.37,61.19,60.35,61.07,25810500,60.69
2014-03-21,60.96,61.20,60.00,60.17,35144100,59.79
2014-03-20,58.36,60.49,58.13,60.11,33736500,59.73
2014-03-19,57.99,58.93,57.89,58.30,21450700,57.93
2014-03-18,57.82,58.16,57.62,58.06,12554800,57.70
2014-03-17,57.21,57.70,57.05,57.58,13581400,57.22
2014-03-14,57.11,57.53,56.62,56.80,18635800,56.44
2014-03-13,58.00,58.34,57.19,57.42,17192500,57.06
2014-03-12,57.70,57.96,57.42,57.92,17932100,57.56
2014-03-11,59.42,59.45,58.13,58.19,19420000,57.83
2014-03-10,59.14,59.48,58.87,59.20,16945200,58.83
2014-03-07,59.35,59.80,59.07,59.40,18602200,59.03
2014-03-06,58.51,59.09,58.40,58.90,19420600,58.53
2014-03-05,57.48,58.29,57.36,58.16,17761500,57.80
2014-03-04,56.95,57.36,56.64,57.26,17157000,56.90
