Date,Open,High,Low,Close,Volume,Adj Close
2014-05-27,89.60,91.47,89.35,91.39,5093800,91.39
2014-05-23,88.11,88.86,88.00,88.78,1858200,88.78
2014-05-22,87.79,88.39,87.55,88.15,2654800,88.15
2014-05-21,87.57,88.14,87.38,87.86,2525600,87.86
2014-05-20,87.82,88.05,86.86,87.09,2798400,87.09
2014-05-19,87.18,88.22,87.11,88.12,2000300,88.12
2014-05-16,87.60,87.76,86.90,87.50,3062400,87.50
2014-05-15,88.20,88.58,87.11,87.60,3324400,87.60
2014-05-14,89.17,89.43,88.31,88.46,2238500,88.46
2014-05-13,89.65,90.00,89.04,89.09,2297900,89.09
2014-05-12,89.42,89.97,89.32,89.66,2343800,89.66
2014-05-09,88.46,89.03,88.13,88.84,2344700,88.84
2014-05-08,87.88,89.28,87.66,88.62,4220200,88.62
2014-05-07,86.79,88.05,86.11,87.98,4601500,87.98
2014-05-06,87.25,87.25,86.08,86.20,3269400,86.20
2014-05-05,86.00,87.42,85.75,87.36,3340000,87.36
2014-05-02,86.77,87.31,86.41,86.93,3707400,86.93
2014-05-01,87.53,87.58,86.33,86.82,4679900,86.82
2014-04-30,87.61,87.66,86.96,87.43,4351600,87.43
2014-04-29,87.34,87.95,87.19,87.79,2852900,87.79
2014-04-28,87.44,87.58,85.85,87.06,4760400,87.06
2014-04-25,87.02,87.30,86.62,87.03,4226100,87.03
2014-04-24,87.26,87.98,86.91,87.41,3187000,87.41
2014-04-23,87.01,87.64,86.67,87.13,3788200,87.13
2014-04-22,86.71,87.44,86.43,87.07,3420400,87.07
2014-04-21,86.38,86.86,86.16,86.67,3762300,86.67
