Date,Open,High,Low,Close,Volume,Adj Close
2014-05-27,123.76,123.99,122.75,122.84,4283300,122.84
2014-05-23,124.10,124.36,123.33,123.37,3808100,123.37
2014-05-22,124.10,124.41,123.56,123.63,3262700,123.63
2014-05-21,123.00,124.36,122.94,124.16,4758700,124.16
2014-05-20,122.95,123.10,122.24,122.50,4044400,122.50
2014-05-19,122.95,123.42,122.85,122.95,4042300,122.95
2014-05-16,123.96,124.35,122.89,123.18,6435100,123.18
2014-05-15,125.17,125.50,123.55,123.81,5939500,123.81
2014-05-14,126.14,126.78,125.76,126.42,4961400,125.35
2014-05-13,125.57,125.99,124.97,125.85,4415200,124.78
2014-05-12,125.57,125.57,124.63,125.24,4914700,124.18
2014-05-09,125.39,126.07,124.64,125.03,4826100,123.97
2014-05-08,125.70,126.13,124.87,125.09,5009800,124.03
2014-05-07,125.95,126.78,125.64,126.23,5436000,125.16
2014-05-06,125.00,125.69,124.52,124.97,5600000,123.91
2014-05-05,124.82,125.85,124.34,125.36,4224400,124.30
2014-05-02,123.90,125.80,123.58,124.72,5406100,123.66
2014-05-01,125.66,125.76,124.28,124.94,6379600,123.88
2014-04-30,125.76,125.98,125.31,125.52,6123500,124.46
2014-04-29,125.92,127.27,125.76,125.97,6666800,124.90
2014-04-28,124.26,126.06,124.25,125.73,7687800,124.67
2014-04-25,124.23,124.70,123.58,123.99,5776300,122.94
2014-04-24,124.84,124.92,124.14,124.30,5185300,123.25
2014-04-23,124.19,124.96,124.19,124.69,5596300,123.63
2014-04-22,123.87,124.35,123.61,124.00,5849200,122.95
2014-04-21,123.05,124.40,123.05,124.24,6351100,123.19
