Date,Open,High,Low,Close,Volume,Adj Close
2014-05-27,101.10,101.36,100.27,100.81,4524400,100.81
2014-05-23,101.04,101.16,100.67,100.98,5275700,100.98
2014-05-22,100.58,101.01,100.08,100.96,5124900,100.96
2014-05-21,100.60,101.20,100.53,101.14,5302500,100.44
2014-05-20,100.81,100.98,99.96,100.25,5438400,99.56
2014-05-19,100.22,100.93,100.13,100.64,6997200,99.94
2014-05-16,100.57,100.89,100.14,100.58,6516900,99.88
2014-05-15,100.64,100.84,100.41,100.69,7007600,99.99
2014-05-14,100.95,101.10,100.77,100.87,4187200,100.17
2014-05-13,100.90,101.49,100.63,101.02,6183200,100.32
2014-05-12,101.24,101.24,100.42,100.52,7437300,99.82
2014-05-09,100.86,101.25,100.41,100.91,5691700,100.21
2014-05-08,100.67,101.09,100.36,100.50,5667900,99.80
2014-05-07,99.85,101.05,99.35,100.91,8720800,100.21
2014-05-06,100.02,100.02,99.51,99.51,5795900,98.82
2014-05-05,99.29,100.17,99.04,100.00,5438200,99.31
2014-05-02,100.17,100.38,98.88,99.31,8744200,98.62
2014-05-01,100.77,101.03,99.93,100.53,6590500,99.83
2014-04-30,100.84,101.67,100.70,101.29,8513600,100.59
2014-04-29,101.63,101.98,100.96,101.03,7811200,100.33
2014-04-28,100.56,101.50,100.12,101.34,8792900,100.64
2014-04-25,99.97,100.26,99.40,99.79,5895900,99.10
2014-04-24,100.24,100.37,99.55,99.96,6149900,99.27
2014-04-23,100.24,100.56,99.92,100.22,5876000,99.53
2014-04-22,100.00,100.75,99.74,100.18,7937900,99.49
2014-04-21,99.01,100.13,98.67,100.00,7031400,99.31
